"","date","province","country","lat","long","type","cases"
"254","2020-10-01","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"255","2020-10-02","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"256","2020-10-03","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"257","2020-10-04","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"258","2020-10-05","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"259","2020-10-06","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"260","2020-10-07","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"261","2020-10-08","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"262","2020-01-22","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"263","2020-01-23","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"264","2020-01-24","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"265","2020-01-25","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"266","2020-01-26","New South Wales","Australia",-33.8688,151.2093,"confirmed",3
"267","2020-01-27","New South Wales","Australia",-33.8688,151.2093,"confirmed",1
"268","2020-01-28","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"269","2020-01-29","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"270","2020-01-30","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"271","2020-01-31","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"272","2020-02-01","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"273","2020-02-02","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"274","2020-02-03","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"275","2020-02-04","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"276","2020-02-05","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"277","2020-02-06","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"278","2020-02-07","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"279","2020-02-08","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"280","2020-02-09","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"281","2020-02-10","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"282","2020-02-11","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"283","2020-02-12","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"284","2020-02-13","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"285","2020-02-14","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"286","2020-02-15","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"287","2020-02-16","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"288","2020-02-17","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"289","2020-02-18","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"290","2020-02-19","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"291","2020-02-20","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"292","2020-02-21","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"293","2020-02-22","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"294","2020-02-23","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"295","2020-02-24","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"296","2020-02-25","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"297","2020-02-26","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"298","2020-02-27","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"299","2020-02-28","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"300","2020-02-29","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"301","2020-03-01","New South Wales","Australia",-33.8688,151.2093,"confirmed",2
"302","2020-03-02","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"303","2020-03-03","New South Wales","Australia",-33.8688,151.2093,"confirmed",7
"304","2020-03-04","New South Wales","Australia",-33.8688,151.2093,"confirmed",9
"305","2020-03-05","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"306","2020-03-06","New South Wales","Australia",-33.8688,151.2093,"confirmed",4
"307","2020-03-07","New South Wales","Australia",-33.8688,151.2093,"confirmed",2
"308","2020-03-08","New South Wales","Australia",-33.8688,151.2093,"confirmed",10
"309","2020-03-09","New South Wales","Australia",-33.8688,151.2093,"confirmed",10
"310","2020-03-10","New South Wales","Australia",-33.8688,151.2093,"confirmed",7
"311","2020-03-11","New South Wales","Australia",-33.8688,151.2093,"confirmed",10
"312","2020-03-12","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"313","2020-03-13","New South Wales","Australia",-33.8688,151.2093,"confirmed",27
"314","2020-03-14","New South Wales","Australia",-33.8688,151.2093,"confirmed",20
"315","2020-03-15","New South Wales","Australia",-33.8688,151.2093,"confirmed",22
"316","2020-03-16","New South Wales","Australia",-33.8688,151.2093,"confirmed",37
"317","2020-03-17","New South Wales","Australia",-33.8688,151.2093,"confirmed",39
"318","2020-03-18","New South Wales","Australia",-33.8688,151.2093,"confirmed",57
"319","2020-03-19","New South Wales","Australia",-33.8688,151.2093,"confirmed",40
"320","2020-03-20","New South Wales","Australia",-33.8688,151.2093,"confirmed",46
"321","2020-03-21","New South Wales","Australia",-33.8688,151.2093,"confirmed",83
"322","2020-03-22","New South Wales","Australia",-33.8688,151.2093,"confirmed",233
"323","2020-03-23","New South Wales","Australia",-33.8688,151.2093,"confirmed",0
"324","2020-03-24","New South Wales","Australia",-33.8688,151.2093,"confirmed",149
"325","2020-03-25","New South Wales","Australia",-33.8688,151.2093,"confirmed",211
"326","2020-03-26","New South Wales","Australia",-33.8688,151.2093,"confirmed",190
"327","2020-03-27","New South Wales","Australia",-33.8688,151.2093,"confirmed",186
"328","2020-03-28","New South Wales","Australia",-33.8688,151.2093,"confirmed",212
"329","2020-03-29","New South Wales","Australia",-33.8688,151.2093,"confirmed",174
